食品名,エネルギー（kcal）
（しょうが類）　しょうが　漬物　酢漬,15
（しょうが類）　しょうが　漬物　甘酢漬,44
（しょうが類）　新しょうが　根茎　生,10
しろうり　果実　生,15
しろうり　漬物　塩漬,15
しろうり　漬物　奈良漬,216
ずいき　生ずいき　生,15
ずいき　生ずいき　ゆで,10
ずいき　干しずいき　乾,232
ずいき　干しずいき　ゆで,9
すいぜんじな　葉　生,16
すぐきな　葉　生,23
すぐきな　根　生,19
すぐきな　すぐき漬,30
ズッキーニ　果実　生,16
せり　茎葉　生,17
せり　茎葉　ゆで,17
セロリ　葉柄　生,12
ぜんまい　生ぜんまい　若芽　生,27
ぜんまい　生ぜんまい　若芽　ゆで,17
ぜんまい　干しぜんまい　干し若芽　乾,277
ぜんまい　干しぜんまい　干し若芽　ゆで,25
そらまめ　未熟豆　生,102
そらまめ　未熟豆　ゆで,103
タアサイ　葉　生,12
タアサイ　葉　ゆで,11
（だいこん類）　かいわれだいこん　芽ばえ　生,21
（だいこん類）　葉だいこん　葉　生,17
（だいこん類）　だいこん　葉　生,23
（だいこん類）　だいこん　葉　ゆで,24
（だいこん類）　だいこん　根　皮つき　生,15
（だいこん類）　だいこん　根　皮つき　ゆで,15
（だいこん類）　だいこん　根　皮なし　生,15
（だいこん類）　だいこん　根　皮なし　生　おろし,25
（だいこん類）　だいこん　根　皮なし　生　おろし汁,12
（だいこん類）　だいこん　根　皮なし　生　おろし水洗い,23
（だいこん類）　だいこん　根　皮なし　ゆで,15
（だいこん類）　切干しだいこん　乾,280
（だいこん類）　切干しだいこん　ゆで,13
（だいこん類）　切干しだいこん　油いため,78
（だいこん類）　漬物　いぶりがっこ,76
（だいこん類）　漬物　ぬかみそ漬,29
（だいこん類）　漬物　たくあん漬　塩押しだいこん漬,43
（だいこん類）　漬物　たくあん漬　干しだいこん漬,23
（だいこん類）　漬物　守口漬,194
（だいこん類）　漬物　べったら漬,53
（だいこん類）　漬物　みそ漬,52
（だいこん類）　漬物　福神漬,137
（たいさい類）　つまみな　葉　生,19
（たいさい類）　たいさい　葉　生,15
（たいさい類）　たいさい　塩漬,19
たかな　葉　生,21
たかな　たかな漬,30
たけのこ　若茎　生,27
たけのこ　若茎　ゆで,31
たけのこ　水煮缶詰,22
たけのこ　めんま　塩蔵　塩抜き,15
（たまねぎ類）　たまねぎ　りん茎　生,33
（たまねぎ類）　たまねぎ　りん茎　水さらし,24
（たまねぎ類）　たまねぎ　りん茎　ゆで,30
（たまねぎ類）　たまねぎ　りん茎　油いため,100
（たまねぎ類）　たまねぎ　りん茎　油いため　（あめ色たまねぎ）,208
（たまねぎ類）　赤たまねぎ　りん茎　生,34
（たまねぎ類）　葉たまねぎ　りん茎及び葉　生,33
たらのめ　若芽　生,27
たらのめ　若芽　ゆで,27
チコリ　若芽　生,17
ちぢみゆきな　葉　生,35
ちぢみゆきな　葉　ゆで,34
チンゲンサイ　葉　生,9
チンゲンサイ　葉　ゆで,11
チンゲンサイ　葉　油いため,36
つくし　胞子茎　生,31
つくし　胞子茎　ゆで,28
つるな　茎葉　生,15
つるにんじん　根　生,55
つるむらさき　茎葉　生,11
つるむらさき　茎葉　ゆで,12
つわぶき　葉柄　生,19
つわぶき　葉柄　ゆで,14
とうがらし　葉･果実　生,32
とうがらし　葉･果実　油いため,81
とうがらし　果実　生,72
とうがらし　果実　乾,270
とうがん　果実　生,15
とうがん　果実　ゆで,15
（とうもろこし類）　スイートコーン　未熟種子　生,89
（とうもろこし類）　スイートコーン　未熟種子　ゆで,95
（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,104
（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,96
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,91
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,92
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,125
（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,82
（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,78
（とうもろこし類）　ヤングコーン　幼雌穂　生,29
（トマト類）　赤色トマト　果実　生,20
（トマト類）　赤色ミニトマト　果実　生,30
（トマト類）　黄色トマト　果実　生,18
（トマト類）　ドライトマト,291
（トマト類）　加工品　ホール　食塩無添加,21
（トマト類）　加工品　トマトジュース　食塩添加,15
（トマト類）　加工品　トマトジュース　食塩無添加,18
（トマト類）　加工品　ミックスジュース　食塩添加,18
（トマト類）　加工品　ミックスジュース　食塩無添加,18
トレビス　葉　生,17
とんぶり　ゆで,89
ながさきはくさい　葉　生,12
ながさきはくさい　葉　ゆで,18
（なす類）　なす　果実　生,18
（なす類）　なす　果実　ゆで,17
（なす類）　なす　果実　油いため,73
（なす類）　なす　果実　天ぷら,165
（なす類）　べいなす　果実　生,20
（なす類）　べいなす　果実　素揚げ,177
（なす類）　漬物　塩漬,22
（なす類）　漬物　ぬかみそ漬,27
（なす類）　漬物　こうじ漬,87
（なす類）　漬物　からし漬,127
（なす類）　漬物　しば漬,27
なずな　葉　生,35
（なばな類）　和種なばな　花らい・茎　生,34
（なばな類）　和種なばな　花らい・茎　ゆで,28
（なばな類）　洋種なばな　茎葉　生,36
（なばな類）　洋種なばな　茎葉　ゆで,30
にがうり　果実　生,15
にがうり　果実　油いため,47
（にら類）　にら　葉　生,18
（にら類）　にら　葉　ゆで,27
（にら類）　にら　葉　油いため,69
（にら類）　花にら　花茎・花らい　生,27
（にら類）　黄にら　葉　生,18
（にんじん類）　葉にんじん　葉　生,16
（にんじん類）　にんじん　根　皮つき　生,35
（にんじん類）　にんじん　根　皮つき　ゆで,29
（にんじん類）　にんじん　根　皮なし　生,30
（にんじん類）　にんじん　根　皮なし　ゆで,28
（にんじん類）　にんじん　根　皮なし　油いため,103
（にんじん類）　にんじん　根　皮なし　素揚げ,87
（にんじん類）　にんじん　根　皮　生,26
（にんじん類）　にんじん　根　冷凍,30
（にんじん類）　にんじん　根　冷凍　ゆで,24
（にんじん類）　にんじん　根　冷凍　油いため,65
（にんじん類）　にんじん　グラッセ,53
（にんじん類）　にんじん　ジュース　缶詰,29
（にんじん類）　きんとき　根　皮つき　生,39
（にんじん類）　きんとき　根　皮つき　ゆで,37
（にんじん類）　きんとき　根　皮なし　生,40
（にんじん類）　きんとき　根　皮なし　ゆで,40
（にんじん類）　ミニキャロット　根　生,26
（にんにく類）　にんにく　りん茎　生,129
（にんにく類）　にんにく　りん茎　油いため,191
（にんにく類）　茎にんにく　花茎　生,44
（にんにく類）　茎にんにく　花茎　ゆで,43
（ねぎ類）　根深ねぎ　葉　軟白　生,35
（ねぎ類）　根深ねぎ　葉　軟白　ゆで,28
（ねぎ類）　根深ねぎ　葉　軟白　油いため,77
（ねぎ類）　葉ねぎ　葉　生,29
（ねぎ類）　葉ねぎ　葉　油いため,77
（ねぎ類）　こねぎ　葉　生,26
のざわな　葉　生,14
のざわな　漬物　塩漬,17
のざわな　漬物　調味漬,22
のびる　りん茎葉　生,63
はくさい　結球葉　生,13
はくさい　結球葉　ゆで,13
はくさい　漬物　塩漬,17
はくさい　漬物　キムチ,27
パクチョイ　葉　生,15
バジル　葉　生,21
パセリ　葉　生,34
はつかだいこん　根　生,13
はなっこりー　生,34
はやとうり　果実　白色種　生,20
はやとうり　果実　白色種　塩漬,17
はやとうり　果実　緑色種　生,21
ビーツ　根　生,38
ビーツ　根　ゆで,42
（ピーマン類）　青ピーマン　果実　生,20
（ピーマン類）　青ピーマン　果実　油いため,54
（ピーマン類）　赤ピーマン　果実　生,28
（ピーマン類）　赤ピーマン　果実　油いため,69
（ピーマン類）　オレンジピーマン　果実　生,19
（ピーマン類）　オレンジピーマン　果実　油いため,81
（ピーマン類）　黄ピーマン　果実　生,28
（ピーマン類）　黄ピーマン　果実　油いため,61
（ピーマン類）　トマピー　果実　生,33
ひのな　根・茎葉　生,17
ひのな　根・茎葉　甘酢漬,70
ひろしまな　葉　生,19
ひろしまな　塩漬,15
（ふき類）　ふき　葉柄　生,11
（ふき類）　ふき　葉柄　ゆで,7
（ふき類）　ふきのとう　花序　生,38
（ふき類）　ふきのとう　花序　ゆで,31
ふじまめ　若ざや　生,32
ふだんそう　葉　生,17
ふだんそう　葉　ゆで,26
ブロッコリー　花序　生,37
ブロッコリー　花序　ゆで,30
ブロッコリー　花序　電子レンジ調理,56
ブロッコリー　花序　焼き,83
ブロッコリー　花序　油いため,109
ブロッコリー　芽ばえ　生,18
へちま　果実　生,17
へちま　果実　ゆで,19
ほうれんそう　葉　通年平均　生,18
ほうれんそう　葉　通年平均　ゆで,23
ほうれんそう　葉　通年平均　油いため,91
ほうれんそう　葉　夏採り　生,18
ほうれんそう　葉　夏採り　ゆで,23
ほうれんそう　葉　冬採り　生,18
ほうれんそう　葉　冬採り　ゆで,23
ほうれんそう　葉　冷凍,22
ほうれんそう　葉　冷凍　ゆで,26
ほうれんそう　葉　冷凍　油いため,67
ホースラディシュ　根茎　生,69
まこも　茎　生,19
みずかけな　葉　生,25
みずかけな　塩漬,34
みずな　葉　生,23
みずな　葉　ゆで,21
みずな　塩漬,26
（みつば類）　切りみつば　葉　生,16
（みつば類）　切りみつば　葉　ゆで,12
（みつば類）　根みつば　葉　生,19
（みつば類）　根みつば　葉　ゆで,19
（みつば類）　糸みつば　葉　生,12
（みつば類）　糸みつば　葉　ゆで,14
みぶな　葉　生,14
（みょうが類）　みょうが　花穂　生,11
（みょうが類）　みょうがたけ　茎葉　生,6
むかご　肉芽　生,87
めキャベツ　結球葉　生,52
めキャベツ　結球葉　ゆで,51
めたで　芽ばえ　生,39
（もやし類）　アルファルファもやし　生,11
（もやし類）　だいずもやし　生,29
（もやし類）　だいずもやし　ゆで,27
（もやし類）　ブラックマッペもやし　生,17
（もやし類）　ブラックマッペもやし　ゆで,13
（もやし類）　ブラックマッペもやし　油いため,41
（もやし類）　りょくとうもやし　生,15
（もやし類）　りょくとうもやし　ゆで,12
モロヘイヤ　茎葉　生,36
モロヘイヤ　茎葉　ゆで,24
やぶまめ　生,219
やまごぼう　みそ漬,66
ゆりね　りん茎　生,119
ゆりね　りん茎　ゆで,117
ようさい　茎葉　生,17
ようさい　茎葉　ゆで,18
よめな　葉　生,40
よもぎ　葉　生,43
よもぎ　葉　ゆで,37
らっかせい　未熟豆　生,306
らっかせい　未熟豆　ゆで,298
（らっきょう類）　らっきょう　りん茎　生,83
（らっきょう類）　らっきょう　甘酢漬,117
（らっきょう類）　エシャレット　りん茎　生,59
リーキ　りん茎葉　生,30
リーキ　りん茎葉　ゆで,28
ルッコラ　葉　生,17
ルバーブ　葉柄　生,23
ルバーブ　葉柄　ゆで,14
（レタス類）　レタス　土耕栽培　結球葉　生,11
（レタス類）　レタス　水耕栽培　結球葉　生,13
（レタス類）　サラダな　葉　生,10
（レタス類）　リーフレタス　葉　生,16
（レタス類）　サニーレタス　葉　生,15
（レタス類）　サンチュ　葉　生,14
（レタス類）　コスレタス　葉　生,16
れんこん　根茎　生,66
れんこん　根茎　ゆで,66
れんこん　甘酢れんこん,66
わけぎ　葉　生,30
わけぎ　葉　ゆで,29
わさび　根茎　生,89
わさび　わさび漬,140
わらび　生わらび　生,19
わらび　生わらび　ゆで,13
わらび　干しわらび　乾,216
（その他）　ミックスベジタブル　冷凍,67
（その他）　ミックスベジタブル　冷凍　ゆで,65
（その他）　ミックスベジタブル　冷凍　油いため,108
（その他）　野菜ミックスジュース　通常タイプ,21
（その他）　野菜ミックスジュース　濃縮タイプ,36
あけび　果肉　生,89
あけび　果皮　生,32
アサイー　冷凍　無糖,62
アセロラ　酸味種　生,36
アセロラ　甘味種　生,36
アセロラ　果実飲料　10%果汁入り飲料,42
アテモヤ　生,81
アボカド　生,176
あんず　生,37
あんず　乾,296
あんず　缶詰,79
あんず　ジャム　高糖度,252
あんず　ジャム　低糖度,202
いちご　生,31
いちご　ジャム　高糖度,250
いちご　ジャム　低糖度,194
いちご　乾,329
いちじく　生,57
いちじく　乾,272
いちじく　缶詰,78
うめ　生,33
うめ　梅漬　塩漬,27
うめ　梅漬　調味漬,45
うめ　梅干し　塩漬,29
うめ　梅干し　調味漬,90
うめ　梅びしお,196
うめ　果実飲料　20%果汁入り飲料,49
オリーブ　塩漬　グリーンオリーブ,148
オリーブ　塩漬　ブラックオリーブ,121
オリーブ　塩漬　スタッフドオリーブ,141
かき　甘がき　生,63
かき　渋抜きがき　生,59
かき　干しがき,274
かりん　生,58
（かんきつ類）　いよかん　砂じょう　生,50
（かんきつ類）　うんしゅうみかん　じょうのう　早生　生,49
（かんきつ類）　うんしゅうみかん　じょうのう　普通　生,49
（かんきつ類）　うんしゅうみかん　砂じょう　早生　生,47
（かんきつ類）　うんしゅうみかん　砂じょう　普通　生,49
（かんきつ類）　うんしゅうみかん　果実飲料　ストレートジュース,45
（かんきつ類）　うんしゅうみかん　果実飲料　濃縮還元ジュース,42
（かんきつ類）　うんしゅうみかん　果実飲料　果粒入りジュース,53
（かんきつ類）　うんしゅうみかん　果実飲料　50%果汁入り飲料,59
（かんきつ類）　うんしゅうみかん　果実飲料　20%果汁入り飲料,50
（かんきつ類）　うんしゅうみかん　缶詰　果肉,63
（かんきつ類）　うんしゅうみかん　缶詰　液汁,63
（かんきつ類）　オレンジ　ネーブル　砂じょう　生,48
（かんきつ類）　オレンジ　バレンシア　米国産　砂じょう　生,42
（かんきつ類）　オレンジ　バレンシア　果実飲料　ストレートジュース,45
（かんきつ類）　オレンジ　バレンシア　果実飲料　濃縮還元ジュース,46
（かんきつ類）　オレンジ　バレンシア　果実飲料　50%果汁入り飲料,46
（かんきつ類）　オレンジ　バレンシア　果実飲料　30%果汁入り飲料,41
（かんきつ類）　オレンジ　バレンシア　マーマレード　高糖度,233
（かんきつ類）　オレンジ　バレンシア　マーマレード　低糖度,190
（かんきつ類）　オレンジ　福原オレンジ　砂じょう　生,43
（かんきつ類）　オロブランコ　砂じょう　生,43
（かんきつ類）　かぼす　果汁　生,36
（かんきつ類）　かわちばんかん　砂じょう　生,38
（かんきつ類）　きよみ　砂じょう　生,45
（かんきつ類）　きんかん　全果　生,67
（かんきつ類）　グレープフルーツ　白肉種　砂じょう　生,40
（かんきつ類）　グレープフルーツ　紅肉種　砂じょう　生,40
（かんきつ類）　グレープフルーツ　果実飲料　ストレートジュース,44
（かんきつ類）　グレープフルーツ　果実飲料　濃縮還元ジュース,38
（かんきつ類）　グレープフルーツ　果実飲料　50%果汁入り飲料,45
（かんきつ類）　グレープフルーツ　果実飲料　20%果汁入り飲料,39
（かんきつ類）　グレープフルーツ　缶詰,60
（かんきつ類）　さんぼうかん　砂じょう　生,47
（かんきつ類）　シークヮーサー　果汁　生,35
（かんきつ類）　シークヮーサー　果実飲料　10%果汁入り飲料,48
（かんきつ類）　しらぬひ　砂じょう　生,56
（かんきつ類）　すだち　果皮　生,55
（かんきつ類）　すだち　果汁　生,29
（かんきつ類）　せとか　砂じょう　生,50
（かんきつ類）　セミノール　砂じょう　生,53
（かんきつ類）　だいだい　果汁　生,35
（かんきつ類）　なつみかん　砂じょう　生,42
（かんきつ類）　なつみかん　缶詰,80
（かんきつ類）　はっさく　砂じょう　生,47
（かんきつ類）　はるみ　砂じょう　生,52
（かんきつ類）　ひゅうがなつ　じょうのう及びアルベド　生,46
（かんきつ類）　ひゅうがなつ　砂じょう　生,35
（かんきつ類）　ぶんたん　砂じょう　生,41
（かんきつ類）　ぶんたん　ざぼん漬,338
（かんきつ類）　ぽんかん　砂じょう　生,42
（かんきつ類）　ゆず　果皮　生,50
（かんきつ類）　ゆず　果汁　生,30
（かんきつ類）　ライム　果汁　生,39
（かんきつ類）　レモン　全果　生,43
（かんきつ類）　レモン　果汁　生,24
キウイフルーツ　緑肉種　生,51
キウイフルーツ　黄肉種　生,63
きはだ　実　乾,378
キワノ　生,41
グァバ　赤肉種　生,33
グァバ　白肉種　生,33
グァバ　果実飲料　20%果汁入り飲料　（ネクター）,49
グァバ　果実飲料　10%果汁入り飲料,50
くこ　実　乾,387
ぐみ　生,72
ココナッツ　ココナッツウォーター,22
ココナッツ　ココナッツミルク,157
ココナッツ　ナタデココ,80
さくらんぼ　国産　生,64
さくらんぼ　米国産　生,64
さくらんぼ　米国産　缶詰,70
ざくろ　生,63
すいか　赤肉種　生,41
すいか　黄肉種　生,41
（すぐり類）　カシス　冷凍,62
（すぐり類）　グーズベリー　生,51
スターフルーツ　生,30
（すもも類）　にほんすもも　生,46
（すもも類）　プルーン　生,49
（すもも類）　プルーン　乾,211
チェリモヤ　生,82
ドラゴンフルーツ　生,52
ドリアン　生,140
（なし類）　日本なし　生,38
（なし類）　日本なし　缶詰,76
（なし類）　中国なし　生,49
（なし類）　西洋なし　生,48
（なし類）　西洋なし　缶詰,79
なつめ　乾,294
なつめやし　乾,281
パインアップル　生,54
パインアップル　焼き,74
パインアップル　果実飲料　ストレートジュース,46
パインアップル　果実飲料　濃縮還元ジュース,45
パインアップル　果実飲料　50%果汁入り飲料,50
パインアップル　果実飲料　10%果汁入り飲料,50
パインアップル　缶詰,76
パインアップル　砂糖漬,349
ハスカップ　生,55
パッションフルーツ　果汁　生,67
バナナ　生,93
バナナ　乾,314
パパイア　完熟　生,33
パパイア　未熟　生,35
びわ　生,41
びわ　缶詰,80
ぶどう　皮なし　生,58
ぶどう　皮つき　生,69
ぶどう　干しぶどう,324
ぶどう　果実飲料　ストレートジュース,54
ぶどう　果実飲料　濃縮還元ジュース,46
ぶどう　果実飲料　70%果汁入り飲料,52
ぶどう　果実飲料　10%果汁入り飲料,52
ぶどう　缶詰,83
ぶどう　ジャム,189
ブルーベリー　生,48
ブルーベリー　ジャム,174
ブルーベリー　乾,280
ホワイトサポテ　生,73
まくわうり　黄肉種　生,34
まくわうり　白肉種　生,34
マルメロ　生,48
マンゴー　生,68
マンゴー　ドライマンゴー,339
マンゴスチン　生,71
メロン　温室メロン　生,40
メロン　露地メロン　緑肉種　生,45
メロン　露地メロン　赤肉種　生,45
（もも類）　もも　白肉種　生,38
（もも類）　もも　黄肉種　生,48
（もも類）　もも　果実飲料　30%果汁入り飲料　（ネクター）,46
（もも類）　もも　缶詰　白肉種　果肉,82
（もも類）　もも　缶詰　黄肉種　果肉,83
（もも類）　もも　缶詰　液汁,81
（もも類）　ネクタリン　生,39
やまもも　生,47
ライチー　生,61
ラズベリー　生,36
りゅうがん　乾,310
りんご　皮なし　生,53
りんご　皮つき　生,56
りんご　皮つき　焼き,86
りんご　果実飲料　ストレートジュース,43
りんご　果実飲料　濃縮還元ジュース,47
りんご　果実飲料　50%果汁入り飲料,46
りんご　果実飲料　30%果汁入り飲料,46
りんご　缶詰,81
りんご　ジャム,203
えのきたけ　生,34
えのきたけ　ゆで,34
えのきたけ　油いため,71
えのきたけ　味付け瓶詰,76
（きくらげ類）　あらげきくらげ　生,14
（きくらげ類）　あらげきくらげ　乾,184
（きくらげ類）　あらげきくらげ　ゆで,38
（きくらげ類）　あらげきくらげ　油いため,110
（きくらげ類）　きくらげ　乾,216
（きくらげ類）　きくらげ　ゆで,14
（きくらげ類）　しろきくらげ　乾,170
（きくらげ類）　しろきくらげ　ゆで,15
くろあわびたけ　生,28
しいたけ　生しいたけ　菌床栽培　生,25
しいたけ　生しいたけ　菌床栽培　ゆで,22
しいたけ　生しいたけ　菌床栽培　油いため,65
しいたけ　生しいたけ　菌床栽培　天ぷら,201
しいたけ　生しいたけ　原木栽培　生,34
しいたけ　生しいたけ　原木栽培　ゆで,27
しいたけ　生しいたけ　原木栽培　油いため,84
しいたけ　乾しいたけ　乾,258
しいたけ　乾しいたけ　ゆで,40
しいたけ　乾しいたけ　甘煮,116
（しめじ類）　はたけしめじ　生,25
（しめじ類）　はたけしめじ　ゆで,25
（しめじ類）　ぶなしめじ　生,26
（しめじ類）　ぶなしめじ　ゆで,22
（しめじ類）　ぶなしめじ　油いため,65
（しめじ類）　ぶなしめじ　素揚げ,168
（しめじ類）　ぶなしめじ　天ぷら,248
（しめじ類）　ほんしめじ　生,21
（しめじ類）　ほんしめじ　ゆで,26
たもぎたけ　生,23
なめこ　株採り　生,21
なめこ　株採り　ゆで,22
なめこ　カットなめこ　生,14
なめこ　水煮缶詰,13
ぬめりすぎたけ　生,23
（ひらたけ類）　うすひらたけ　生,37
（ひらたけ類）　エリンギ　生,31
（ひらたけ類）　エリンギ　ゆで,32
（ひらたけ類）　エリンギ　焼き,41
（ひらたけ類）　エリンギ　油いため,69
（ひらたけ類）　ひらたけ　生,34
（ひらたけ類）　ひらたけ　ゆで,33
まいたけ　生,22
まいたけ　ゆで,27
まいたけ　油いため,67
まいたけ　乾,273
マッシュルーム　生,15
マッシュルーム　ゆで,20
マッシュルーム　油いため,57
マッシュルーム　水煮缶詰,18
まつたけ　生,32
やなぎまつたけ　生,20
あおさ　素干し,201
あおのり　素干し,249
あまのり　ほしのり,276
あまのり　焼きのり,297
あまのり　味付けのり,301
あらめ　蒸し干し,183
いわのり　素干し,228
うみぶどう　生,6
えごのり　素干し,179
えごのり　おきうと,7
おごのり　塩蔵　塩抜き,26
かわのり　素干し,247
（こんぶ類）　えながおにこんぶ　素干し,224
（こんぶ類）　がごめこんぶ　素干し,216
（こんぶ類）　ながこんぶ　素干し,205
（こんぶ類）　ほそめこんぶ　素干し,227
（こんぶ類）　まこんぶ　素干し　乾,170
（こんぶ類）　まこんぶ　素干し　水煮,28
（こんぶ類）　みついしこんぶ　素干し,235
（こんぶ類）　りしりこんぶ　素干し,211
（こんぶ類）　刻み昆布,119
（こんぶ類）　削り昆布,177
（こんぶ類）　塩昆布,193
（こんぶ類）　つくだ煮,150
すいぜんじのり　素干し　水戻し,10
てんぐさ　素干し,194
てんぐさ　ところてん,2
てんぐさ　角寒天,159
てんぐさ　寒天,3
てんぐさ　粉寒天,160
とさかのり　赤とさか　塩蔵　塩抜き,19
とさかのり　青とさか　塩蔵　塩抜き,17
ひじき　ほしひじき　ステンレス釜　乾,180
ひじき　ほしひじき　ステンレス釜　ゆで,11
ひじき　ほしひじき　ステンレス釜　油いため,51
ひじき　ほしひじき　鉄釜　乾,186
ひじき　ほしひじき　鉄釜　ゆで,13
ひじき　ほしひじき　鉄釜　油いため,54
ひとえぐさ　素干し,172
ひとえぐさ　つくだ煮,148
ふのり　素干し,207
まつも　素干し,252
むかでのり　塩蔵　塩抜き,12
（もずく類）　おきなわもずく　塩蔵　塩抜き,7
（もずく類）　もずく　塩蔵　塩抜き,4
わかめ　原藻　生,24
わかめ　乾燥わかめ　素干し,164
わかめ　乾燥わかめ　素干し　水戻し,22
わかめ　乾燥わかめ　板わかめ,200
わかめ　乾燥わかめ　灰干し　水戻し,9
わかめ　カットわかめ　乾,186
わかめ　カットわかめ　水煮　（沸騰水で短時間加熱したもの）,17
わかめ　カットわかめ　水煮の汁,0
わかめ　湯通し塩蔵わかめ　塩抜き　生,16
わかめ　湯通し塩蔵わかめ　塩抜き　ゆで,7
わかめ　くきわかめ　湯通し塩蔵　塩抜き,18
わかめ　めかぶわかめ　生,14
＜魚類＞　あいなめ　生,105
＜魚類＞　あこうだい　生,86
＜魚類＞　（あじ類）　まあじ　皮つき　生,112
＜魚類＞　（あじ類）　まあじ　皮なし　生,108
＜魚類＞　（あじ類）　まあじ　皮つき　水煮,136
＜魚類＞　（あじ類）　まあじ　皮つき　焼き,157
＜魚類＞　（あじ類）　まあじ　皮つき　フライ,270
＜魚類＞　（あじ類）　まあじ　開き干し　生,150
＜魚類＞　（あじ類）　まあじ　開き干し　焼き,194
＜魚類＞　（あじ類）　まあじ　小型　骨付き　生,114
＜魚類＞　（あじ類）　まあじ　小型　骨付き　から揚げ,268
＜魚類＞　（あじ類）　まるあじ　生,133
＜魚類＞　（あじ類）　まるあじ　焼き,175
＜魚類＞　（あじ類）　にしまあじ　生,156
＜魚類＞　（あじ類）　にしまあじ　水煮,160
＜魚類＞　（あじ類）　にしまあじ　焼き,186
＜魚類＞　（あじ類）　むろあじ　生,147
＜魚類＞　（あじ類）　むろあじ　焼き,167
＜魚類＞　（あじ類）　むろあじ　開き干し,140
＜魚類＞　（あじ類）　むろあじ　くさや,223
＜魚類＞　あなご　生,146
＜魚類＞　あなご　蒸し,173
＜魚類＞　あまご　養殖　生,102
＜魚類＞　あまだい　生,102
＜魚類＞　あまだい　水煮,113
＜魚類＞　あまだい　焼き,110
＜魚類＞　あゆ　天然　生,93
＜魚類＞　あゆ　天然　焼き,149
＜魚類＞　あゆ　天然　内臓　生,180
＜魚類＞　あゆ　天然　内臓　焼き,161
＜魚類＞　あゆ　養殖　生,138
＜魚類＞　あゆ　養殖　焼き,202
＜魚類＞　あゆ　養殖　内臓　生,485
＜魚類＞　あゆ　養殖　内臓　焼き,500
＜魚類＞　あゆ　うるか,157
＜魚類＞　アラスカめぬけ　生,96
＜魚類＞　あんこう　生,54
＜魚類＞　あんこう　きも　生,401
＜魚類＞　いかなご　生,111
＜魚類＞　いかなご　煮干し,218
＜魚類＞　いかなご　つくだ煮,271
＜魚類＞　いかなご　あめ煮,268
＜魚類＞　いさき　生,116
＜魚類＞　いしだい　生,138
＜魚類＞　いとよりだい　生,85
＜魚類＞　いとよりだい　すり身,90
＜魚類＞　いぼだい　生,132
＜魚類＞　（いわし類）　うるめいわし　生,124
＜魚類＞　（いわし類）　うるめいわし　丸干し,219
＜魚類＞　（いわし類）　かたくちいわし　生,171
＜魚類＞　（いわし類）　かたくちいわし　煮干し,298
＜魚類＞　（いわし類）　かたくちいわし　田作り,304
＜魚類＞　（いわし類）　まいわし　生,156
＜魚類＞　（いわし類）　まいわし　水煮,182
＜魚類＞　（いわし類）　まいわし　焼き,199
＜魚類＞　（いわし類）　まいわし　フライ,384
＜魚類＞　（いわし類）　まいわし　塩いわし,143
＜魚類＞　（いわし類）　まいわし　生干し,217
＜魚類＞　（いわし類）　まいわし　丸干し,177
＜魚類＞　（いわし類）　めざし　生,206
＜魚類＞　（いわし類）　めざし　焼き,200
＜魚類＞　（いわし類）　しらす　生,67
＜魚類＞　（いわし類）　しらす　釜揚げしらす,84
＜魚類＞　（いわし類）　しらす干し　微乾燥品,113
＜魚類＞　（いわし類）　しらす干し　半乾燥品,187
＜魚類＞　（いわし類）　たたみいわし,348
＜魚類＞　（いわし類）　みりん干し　かたくちいわし,330
＜魚類＞　（いわし類）　みりん干し　まいわし,314
＜魚類＞　（いわし類）　缶詰　水煮,168
＜魚類＞　（いわし類）　缶詰　味付け,203
＜魚類＞　（いわし類）　缶詰　トマト漬,167
＜魚類＞　（いわし類）　缶詰　油漬,351
＜魚類＞　（いわし類）　缶詰　かば焼,234
＜魚類＞　（いわし類）　缶詰　アンチョビ,157
＜魚類＞　いわな　養殖　生,101
＜魚類＞　うぐい　生,93
＜魚類＞　うなぎ　養殖　生,228
＜魚類＞　うなぎ　きも　生,102
＜魚類＞　うなぎ　白焼き,300
＜魚類＞　うなぎ　かば焼,285
＜魚類＞　うまづらはぎ　生,75
＜魚類＞　うまづらはぎ　味付け開き干し,289
＜魚類＞　えい　生,79
＜魚類＞　えそ　生,87
＜魚類＞　おいかわ　生,124
＜魚類＞　おおさが　生,131
＜魚類＞　おこぜ　生,81
＜魚類＞　おひょう　生,93
＜魚類＞　かさご　生,83
＜魚類＞　かじか　生,98
＜魚類＞　かじか　水煮,108
＜魚類＞　かじか　つくだ煮,293
＜魚類＞　（かじき類）　くろかじき　生,93
＜魚類＞　（かじき類）　まかじき　生,107
＜魚類＞　（かじき類）　めかじき　生,139
＜魚類＞　（かじき類）　めかじき　焼き,202
＜魚類＞　（かつお類）　かつお　春獲り　生,108
＜魚類＞　（かつお類）　かつお　秋獲り　生,150
＜魚類＞　（かつお類）　そうだがつお　生,126
＜魚類＞　（かつお類）　加工品　なまり,126
